class,#Samples,#Frames,Extent,Seq,Short,Passive,AvgMotion,PoseVar,PoseRatio,Obj,#Obj,#Verbs,Interact,Tool
c119,452,3941.5,11.916,1,0,1,0.0076251,0.74942,0.53252,1,4,20,1,0
c120,375,3835,14.74,1,0,1,0.0069259,0.77427,0.60229,1,4,19,1,0
c121,112,1937.6,21.316,0,1,1,0.0064477,0.77138,0.40346,1,4,8,1,1
c122,160,2643.2,21.177,0,1,0,0.003841,0.79454,0.70124,0,2,3,1,0
c123,484,10106,25.163,0,1,0,0.0042789,0.76354,0.65472,0,2,7,1,0
c124,168,2973.7,21.774,0,1,0,0.0033059,0.81868,0.71539,0,4,3,1,0
c125,395,9022.2,26.518,0,1,0,0.0043648,0.75949,0.55203,0,4,7,1,0
c126,308,2098,8.4671,1,0,1,0.0084874,0.70408,0.69622,1,4,11,1,0
c127,478,7300,19.252,0,1,1,0.0084477,0.75231,0.65416,1,4,8,1,0
c128,282,4005.6,18.438,1,1,0,0.0045879,0.70378,0.42609,1,2,20,0,0
c129,162,1670.9,12.436,1,0,1,0.0040009,0.70167,0.3941,1,2,3,0,0
c130,207,2846.9,18.168,1,0,1,0.0057006,0.78529,0.56776,1,1,20,1,0
c131,46,597.1,18.664,1,0,1,0.0021393,0.79239,0.57939,0,2,3,0,0
c132,353,7111.6,25.111,1,1,0,0.0034179,0.79934,0.60469,0,2,6,0,0
c133,98,1008.1,12.651,1,0,1,0.0036525,0.80909,0.75825,0,3,2,1,0
c134,257,4646.7,23.21,1,1,0,0.0045566,0.80692,0.76461,0,3,3,1,0
c135,315,6432.7,24.536,1,1,0,0.0057436,0.75831,0.61982,0,3,7,1,0
c136,35,796.7,25.403,1,1,1,0.003758,0.77713,0.55945,1,3,5,0,1
c137,213,4081.1,22.469,1,1,0,0.0068165,0.75963,0.70555,1,3,20,0,1
c138,57,617.9,14.474,1,0,1,0.0077617,0.76302,0.61425,1,3,19,1,0
c139,81,1064,16.349,0,0,1,0.0072445,0.7245,0.32566,1,1,8,1,0
c140,31,594.6,22.467,0,1,1,0.0050762,0.72329,0.41839,1,2,5,1,1
c141,506,4091.5,10.824,0,0,1,0.0075294,0.72243,0.60835,1,2,1,1,0
c142,192,1197.8,6.4757,1,0,1,0.0077723,0.72584,0.60479,1,2,7,1,0
c143,250,1807.6,8.854,1,0,1,0.0073063,0.74886,0.54962,1,2,8,1,0
c144,165,1696.9,14.743,0,0,1,0.0076724,0.77322,0.54007,1,1,5,0,0
c145,237,4633.5,23.216,1,1,1,0.0052741,0.75818,0.4569,1,4,2,1,1
c146,245,2330.8,11.241,1,0,1,0.0034129,0.80635,0.72202,0,7,2,0,0
c147,338,5904.7,20.86,1,1,1,0.0048254,0.74631,0.38875,1,6,1,1,0
c148,332,5283,18.325,0,0,1,0.0065701,0.77695,0.67351,1,8,2,0,0
c149,588,7402.4,16.823,0,0,1,0.0050884,0.71323,0.49226,0,7,3,0,0
c150,357,3010.3,10.762,0,0,1,0.01267,0.68544,0.73125,0,7,1,0,0
c151,964,7129.1,9.07,1,0,1,0.009854,0.78172,0.78758,0,7,7,1,0
c152,1029,12500,16.6,0,1,0,0.0053833,0.73121,0.45055,0,7,3,0,0
c153,643,5834.2,11.271,0,0,0,0.006685,0.75937,0.41262,0,7,1,0,0
c154,1341,10828,12.345,1,0,1,0.0069203,0.76277,0.67899,0,7,2,1,0
c155,395,4903.4,14.439,0,1,1,0.0065428,0.7137,0.60234,1,8,2,0,0
c156,936,13910,19.632,1,1,1,0.0049639,0.75177,0.48035,1,6,3,0,0
