id,Novel,NewActor,Extent-v,AvgMotion-v,PersonSize,People,#Actions
QO4FV,-2.3253,,20.3,0.0028058,155.1,1,7
BLWIW,0.67472,,14.63,0.0046117,140.5,2,10
QF1Y0,0.67472,,11.867,0.010684,104.25,2,9
N5PLR,2.6747,40,12.755,0.014972,129.37,1,11
ENOLD,-0.32528,,7.4667,0.0084587,167.69,1,9
5SMU6,-3.3253,,13.28,0.0034852,126.04,1,5
B4XZD,-2.3253,161,15.067,,172.53,1,6
8H570,-1.3253,,20.8,0.026201,94.535,2,7
IOQFA,-5.3253,,0,0.0046854,101.75,1,1
4QGP6,1.6747,,6.7727,2.6892e-05,123.28,1,11
P3CLM,-2.3253,,33.214,0.0023828,160.76,1,7
8UCK1,-1.3253,,7.45,,149.55,1,8
F3M1Q,3.6747,,6.6357,0.002977,124.93,1,14
UEVVN,0.67472,,8.2556,0.0073841,87.944,1,9
02DPI,2.6747,0,20.677,3.7824e-06,109.36,1,13
8YK8Y,-2.3253,,13.343,0.0027918,92.998,1,7
8NEYJ,-1.3253,,8.3571,0.03,185.18,2,7
81VSN,-4.3253,55,21.15,0.003359,90.245,1,2
DZ9UB,-4.3253,,18.567,0.0024925,108.13,1,3
RQ3AK,-2.3253,,14.85,0.0025903,146.35,2,6
Y89SO,2.6747,,10.573,,117.38,1,11
MUQBW,3.6747,88,17.6,0.019687,163.26,2,14
SM4AO,2.6747,,10.167,2.9685e-08,123.17,1,12
QH3WP,-4.3253,0,18.86,2.9685e-08,187.95,1,5
S591U,4.6747,88,11.607,0.0036791,138.85,2,14
E6DLK,-3.3253,,8.68,0.0029557,142.19,1,5
DJVKE,-2.3253,,24.514,0.0042353,184.11,1,7
PUA7P,4.6747,,10.55,2.9685e-08,104.9,1,14
IIL9C,2.6747,,16.708,0.0071955,143.14,1,12
7229M,2.6747,0,9.0833,0.0039996,218.76,1,12
B0XI9,2.6747,0,12.792,2.9685e-08,250.96,1,12
KE5EM,1.6747,,6.8583,2.9685e-08,151.46,1,12
BLLCM,-4.3253,0,19.5,0.0051865,117.19,1,3
AKU63,-1.3253,0,10.387,0.0061464,166.03,2,8
NUKJ0,0.67472,0,11.42,0.0022314,212.26,1,10
KQDX6,-1.3253,,17.029,0.0028006,142.43,2,7
EURF2,-0.32528,0,10.662,0.010596,159.78,1,8
26JZM,0.67472,0,15.033,0.0015937,226.9,1,9
D8ZZM,-4.3253,,6.3667,0.0025069,202.68,1,3
TZ9FE,3.6747,0,11.629,2.9685e-08,230.93,1,14
TLDYG,0.67472,,13.01,0.0045875,267.79,1,10
FZAEP,-3.3253,,17.05,0.0035523,102.99,1,4
I3ZG0,-5.3253,,0,0.0058798,203,1,1
13TNX,-5.3253,,0,0.0087272,183.66,1,1
R5O7F,4.6747,,9.18,0.0060167,125.88,1,15
ZL3QP,0.67472,,9.8556,0.023457,255.98,1,9
W1CG2,1.6747,,10.092,0.014137,121.1,1,12
2RFLZ,-3.3253,,6.38,4.2691e-06,148.56,1,5
XOOTA,-1.3253,,6.1143,2.9685e-08,59.711,1,7
QE4YE,-0.32528,,17.488,0.0048019,150.6,1,8
QI0EL,0.67472,,17,0.011017,216.49,1,9
GKH0F,3.6747,,16.386,0.010348,165.66,2,14
9YLUH,-2.3253,,23.483,0.005645,184.44,2,6
L8CC0,-2.3253,0,17.586,2.9685e-08,129.86,1,7
LV4U7,-2.3253,,7.85,0.024463,261.23,1,6
75M1Z,1.6747,59,6.25,0.0088155,234.55,1,12
165K2,-1.3253,,6.0875,0.0033727,84.785,1,8
T63X2,1.6747,,18.317,2.9685e-08,166.62,1,12
YVKIV,-0.32528,,11.562,0.0033375,125.89,1,8
LH4VT,-5.3253,,0,0.0036261,197.74,1,1
KNGRY,6.6747,,10.388,0.0057974,261.2,1,17
ZDV60,0.67472,0,7.66,2.9685e-08,219.81,1,10
XMYXI,5.6747,,14.269,0.033651,191.25,1,16
Y2MGC,7.6747,0,14.261,0.004267,116.4,1,18
V0WK7,-1.3253,55,17,,106.14,2,7
PAA7V,-0.32528,,19.03,0.0066016,198.41,1,10
LBRYS,-2.3253,0,6.75,0.0013108,184.06,1,6
GA7SB,2.6747,0,10.562,2.9685e-08,237.09,1,13
SLAH4,1.6747,,7.18,0.00015553,157.73,1,10
NATEB,-0.32528,,12.175,0.013107,233.86,1,8
CIWWB,-3.3253,55,20.36,0.0034355,120.43,2,5
3IPI3,3.6747,,7.7846,0.0037261,164.76,1,13
T96JC,1.6747,,9.7545,0.0034372,112.42,1,11
L005N,-3.3253,,31,0.0024667,113.81,1,5
8TSU4,0.67472,,5.43,0.0024957,146.08,1,10
3G991,0.67472,88,21.722,0.021752,182.48,2,9
SBM3M,3.6747,,14.808,0.0027934,115.23,2,13
PTQE0,0.67472,55,17.52,0.0039286,126.61,2,10
DO48Z,0.67472,,11.43,0.00025931,167.61,1,10
CC2VQ,-3.3253,,9.94,0.007452,166.2,1,5
N2DZN,-4.3253,,16.52,0.0032407,183.65,1,5
KA09C,0.67472,,11.21,0.0033405,165.52,1,10
AVL8A,0.67472,,13.583,0.028237,100.83,1,12
MRTH4,-1.3253,134,6.8,4.0186e-06,128.27,1,8
H0L5S,-0.32528,55,9.7778,0.0024425,64.402,1,9
T7HZB,-1.3253,,6.7143,0.0052401,146,1,7
ZXHCH,6.6747,161,6.5824,0.004852,159.35,1,17
W86WR,0.67472,,11.456,0.0037782,100.24,1,9
3IMTV,1.6747,,14.582,0.0032687,126.5,1,11
BD9UN,-3.3253,,21.54,0.0047848,144.05,2,5
H7WMW,-4.3253,,31,0.0024628,93.45,1,3
C46TD,-2.3253,80,11.15,0.0029129,118.13,1,6
7MRKY,-1.3253,0,16.271,0.014209,251.74,1,7
U1DE4,0.67472,0,11.08,2.9685e-08,186.34,1,10
LABN7,-5.3253,,0,0.013624,169.11,2,1
K8MZH,-5.3253,0,6.3,2.9685e-08,211.2,1,1
41A89,8.6747,0,8.85,0.0071796,128.26,1,18
CUQYX,9.6747,66,10.8,0.0035097,153.26,1,19
3P055,-3.3253,10,12.36,0.00056865,133.28,1,5
OETY6,1.6747,,6.21,0.010413,152.06,1,10
7HSZJ,0.67472,25,7.1333,0.013624,243.73,1,9
KHAH3,-5.3253,,31.8,0.069922,195.76,1,1
2OHTZ,-0.32528,66,15.113,0.0028272,167.19,1,8
H0Q6V,0.67472,,16.858,0.0064553,136.15,1,12
GLSU2,5.6747,55,11.053,0.0037965,89.828,1,17
NRGQB,-2.3253,,6.92,0.030816,252,1,5
JVLAZ,1.6747,59,14.925,0.0065466,228.79,1,12
MPN7K,-2.3253,161,25,0.018114,149.85,2,6
SPF63,3.6747,,10.94,0.011202,118.1,1,15
FGRL2,3.6747,88,22.571,0.010988,157.26,2,14
DG179,-4.3253,,26.125,0.012913,213.57,1,4
TBRZ5,-1.3253,,12.086,0.0079748,232.36,1,7
4YBN9,-3.3253,,9,0.030496,195.07,1,4
GQ341,1.6747,,17.3,0.0036009,142.72,1,11
3HLP7,-0.32528,80,8.6429,,134.44,1,7
9UU4W,4.6747,,15.35,0.003116,141.01,1,14
9ESSY,-4.3253,88,25.4,0.022853,150.16,2,4
DGPAW,-1.3253,161,7.7875,0.0079151,142.38,1,8
WD35N,3.6747,,8.5643,0.014755,144.26,1,14
E002I,1.6747,,6.6083,0.015353,174.59,1,12
YIG5G,7.6747,,18.028,0.0031915,117.58,2,18
D6DC1,-5.3253,55,0,0.0036287,118.38,1,1
4H61U,-2.3253,80,11.86,0.0025873,133.2,1,5
WX8N8,3.6747,55,18.707,0.0031024,183.45,1,14
NUW9G,-1.3253,,6.525,0.0027647,61.269,1,8
5B9XE,0.67472,0,9.33,2.9685e-08,202.23,1,10
79VVK,9.6747,,9.98,0.010518,152.92,1,20
TU9K1,3.6747,0,12.293,2.9685e-08,203.71,1,14
RON2M,4.6747,0,11.664,0.00491,195.22,1,14
BDNMB,-2.3253,,26,0.0079494,274.05,1,4
7177T,0.67472,,14.211,0.0025941,137.38,1,9
0KTWY,2.6747,19,9.0429,0.0083669,177.36,1,14
MSACP,0.67472,0,13.325,0.0036518,195.41,1,12
PCNUP,0.67472,,8.0556,0.016649,279.47,1,9
V6RRM,1.6747,,7.85,0.0030163,138.36,1,10
6CAZU,-1.3253,0,13.6,0.0068853,157.92,2,8
SH6MU,1.6747,0,26.92,0.0098194,180.14,2,10
QLAS7,1.6747,,9.4545,0.00016193,73.78,1,11
OGX19,-4.3253,0,23.98,2.9685e-08,147.74,1,5
AGGSE,-0.32528,0,11.312,2.9685e-08,209.14,1,8
QN7Y2,0.67472,,7.6667,0.0062,139.06,1,9
0WYBK,7.6747,,8.6789,,97.578,1,19
GMPHO,9.6747,0,15.34,2.9685e-08,173.68,1,20
O1LMX,2.6747,,11.536,,231.88,1,11
FG9NT,0.67472,,14.44,0.0034774,202.73,1,10
RAGOI,0.67472,,6.16,1.0221e-07,118.09,1,10
HQ8K2,-3.3253,,4.4,0.011186,234.48,1,4
DTNFC,-2.3253,,16.56,0.0042513,275.87,1,5
HHNTA,-1.3253,55,12.4,0.0042312,142.28,1,8
2P7A9,4.6747,,9.4071,0.0023125,149.52,1,14
MXRF4,-4.3253,134,8.9,6.8777e-07,157.16,1,1
CEZ4D,0.67472,134,14.59,2.9685e-08,129.1,1,10
KFLI0,0.67472,,10.222,0.0038993,207.94,1,9
3DFOQ,-1.3253,55,24.083,0.0020915,143.81,1,6
J48N6,-0.32528,,12.238,0.026337,182.73,1,8
GTHNX,-1.3253,0,22.4,2.9685e-08,216.02,1,8
WZZPC,-3.3253,,4.56,0.00016493,150.3,1,5
3VT73,2.6747,,14.923,0.0018878,89.467,1,13
VXXOU,-3.3253,,5.86,0.0029064,170.45,1,5
SUG5S,-1.3253,0,7.9714,2.9685e-08,248.92,1,7
DWIS8,0.67472,,8.6,0.0070878,187.96,1,11
D1WYU,-0.32528,0,7.7111,2.9685e-08,203.46,1,9
MUE2B,-3.3253,0,6.55,2.9685e-08,255.59,1,4
NO443,-1.3253,,10.957,0.0024322,126.35,1,7
JBFPI,-2.3253,43,14.386,0.010473,284.48,1,7
0J1BT,-2.3253,161,6.4833,0.0049926,181.77,1,6
AOK1L,1.6747,,9.4667,0.0079609,113.52,2,12
RXQEJ,-2.3253,,9.1167,0.018909,245.13,1,6
8AR3Q,-2.3253,,9.78,0.0051462,104.98,1,5
UD8SH,-5.3253,,0,1.1658e-05,152.41,1,1
VIN5T,-1.3253,,9.9375,2.0984e-05,96.615,1,8
BVDIM,0.67472,,16.773,0.014393,246.99,1,11
SRTX6,5.6747,66,12.22,0.0026695,93.812,1,15
ZAN58,-1.3253,,11.671,0.019837,170.88,1,7
JTXAM,-0.32528,,11.967,0.0025725,92.279,1,9
Z1Q3E,-5.3253,,0,0.0035706,124.27,1,1
1410C,-5.3253,,0,0.0023271,122.23,1,1
RBQ9Y,-0.32528,0,12.067,0.0082464,249.34,1,9
SUJWY,-1.3253,,28.875,0.0022924,78.985,1,8
MXATD,-2.3253,,7.5286,0.0027014,118.14,1,7
H608V,1.6747,134,7.3417,0.00033068,76.614,1,12
N9KNS,-2.3253,0,22.12,0.0052796,204.12,2,5
CIUVA,11.675,0,15.055,2.9685e-08,268.06,1,22
DLFPX,-4.3253,,13.8,0.018411,180.47,1,3
YB67Z,-0.32528,0,14.287,2.9685e-08,173.27,1,8
S7OTQ,-0.32528,,10.533,0.0032392,117.44,1,9
YMJ6E,-2.3253,70,9.5667,0.0050186,160.83,1,6
OHNUQ,-1.3253,0,19.113,0.0045988,166.23,1,8
U5QJR,0.67472,,9.9667,0.0030346,142.48,1,9
11L5M,-3.3253,,14.4,0.0039053,165.92,1,6
X9M5B,-2.3253,70,27.057,0.0020772,68.756,1,7
1O1JS,-0.32528,55,16.075,0.0044308,142.01,1,8
FRGXE,0.67472,161,7.4333,0.010008,187.18,1,9
W0J8C,1.6747,0,20.845,2.9685e-08,214.15,1,11
Y4U6T,-5.3253,,0,0.00031374,59.324,1,1
XACI3,-1.3253,,23.95,,162.3,1,8
GFPDD,-0.32528,,10.2,0.01318,174.14,1,8
OHOFG,-0.32528,,17.8,2.9685e-08,175.21,1,10
9VF2C,0.67472,,11.018,0.0042612,71.009,1,11
YNWMW,6.6747,134,5.9941,2.9685e-08,91.027,1,17
AWR2R,-0.32528,0,9.8375,0.0074878,224.97,1,8
8BGE9,-3.3253,,29.425,0.0030057,176.25,1,4
9IST8,-3.3253,29,27,0.0022828,109.72,1,5
YE47Y,3.6747,29,16.979,0.0033829,113.14,1,14
D61NH,-1.3253,88,18.171,0.036758,194.19,2,7
13XM4,0.67472,,8.0364,0.024853,216.75,1,11
2B8ML,-1.3253,55,8.3143,0.0025903,157.09,1,7
LUTIO,-2.3253,,16.8,0.0026073,103.34,1,6
E0OJ8,0.67472,70,24.9,0.0023883,113.09,1,10
Z3H4P,2.6747,,14.715,0.0023805,230.91,1,13
LE7PM,-1.3253,,4.7167,0.0024803,182.56,1,6
JKGTN,-0.32528,66,14.067,0.003677,154.65,1,9
120YL,4.6747,0,7.3067,2.9685e-08,241.74,1,15
1440M,0.67472,0,9.6889,2.9685e-08,209.96,1,9
A2X7Q,-0.32528,,8.4875,0.0081911,247.51,1,8
DL6HP,-3.3253,,40,0.0028768,119.36,1,4
YAFX0,0.67472,,10.35,0.0030447,215.79,1,10
NO1GJ,1.6747,,9.5333,0.0038775,142.41,1,12
MPHFU,-0.32528,43,10.375,0.0093751,268.38,1,8
SLT0S,2.6747,55,11.208,0.00014586,143.56,1,13
43ODF,-3.3253,0,17.625,0.0052248,145.25,1,4
3XL0K,-3.3253,,5.5,0.0036991,45.133,1,3
1L5D3,-0.32528,0,13.2,2.9685e-08,224.1,1,11
L5YHH,1.6747,0,14.44,0.0026173,268.4,1,10
UUPJS,3.6747,,8.8,0.01295,230.19,1,12
9ZE0J,-3.3253,,11.625,0.018538,163.02,2,4
IKK13,-0.32528,55,20.725,0.0028873,134.06,2,8
C7R3J,-2.3253,,7.54,2.9685e-08,93.292,1,5
W019T,2.6747,,14.446,0.027757,171.38,2,13
B32CU,-0.32528,0,18.271,2.9685e-08,161.37,1,7
FXU6S,-4.3253,,32,0.027347,178.89,2,2
ETDTU,-4.3253,134,6.1333,0.00039839,152.51,1,3
MB281,3.6747,,9,0.021062,236.18,1,13
Y4GHN,-1.3253,,11.7,0.003434,169.19,2,8
92WXO,-3.3253,,12.6,0.013904,230.87,1,4
ZKK73,-5.3253,,0,0.022445,168.27,1,1
0QAZ7,-2.3253,,9.2429,0.0047513,248.08,1,7
39I5H,-2.3253,0,33.929,0.0056622,207.88,2,7
3N1I2,5.6747,,8.38,0.0031398,83.357,1,15
PMJKO,-2.3253,,13.42,0.0034559,132.59,1,5
S572F,1.6747,,10.864,0.0088762,171.36,1,11
73ZXZ,-0.32528,,6.56,0.010176,135.3,1,10
X817Z,5.6747,88,8.4062,0.02657,214.3,1,16
DSZYT,-3.3253,,12.2,0.0035313,276.75,1,6
ATV2F,1.6747,0,12.717,0.017603,217.81,1,12
DUSJO,4.6747,,8.55,,230.67,1,14
EXYY8,-1.3253,161,6.3,0.026496,250.95,1,7
GOPZI,-0.32528,,8.9875,0.015537,186.91,1,8
OKIVH,1.6747,,17.208,0.015386,193.23,2,12
36T5X,0.67472,88,13.86,0.026619,158.65,2,10
5P284,2.6747,,14.231,0.0030641,65.343,1,13
L0HDB,1.6747,0,9.9462,0.0095647,249.34,1,13
IWTWJ,3.6747,70,6.3077,0.0051806,100.59,1,13
K7NRW,2.6747,,11.2,0.067063,204.18,2,13
ST7MR,1.6747,0,8.6,0.0055712,158.95,1,11
FVINY,9.6747,88,11.365,0.0048956,166.34,1,20
VE6GK,6.6747,161,8.4588,0.0072702,110.04,1,17
DH4UX,-3.3253,,7.72,4.088e-07,54.62,1,5
AZPOX,-1.3253,,6.1429,0.05623,174.02,1,7
CUHT0,0.67472,1,7.1778,0.020856,178.42,1,9
VJ0LT,0.67472,0,14.991,2.9685e-08,204.85,1,11
4CAB5,-3.3253,0,9.6286,0.0060878,287.33,1,7
HLB3J,1.6747,55,13.82,0.0087449,140.01,2,10
VG7S6,-0.32528,161,8.3857,0.0038624,102.72,2,7
YNF6O,-0.32528,,10.15,1.8433e-05,58.221,1,8
2S9LB,-1.3253,88,23.386,0.032252,186.36,2,7
UX0YW,-0.32528,,14.7,0.015221,187.62,2,8
IKJGO,4.6747,,10.507,0.0083408,144.84,1,15
B50MB,-1.3253,,24.825,0.019202,195.93,2,8
29R4M,-2.3253,,10.3,0.0087989,146.98,2,6
FVOU0,-0.32528,88,19.375,0.0043914,172.06,2,8
MWPZ1,2.6747,,12.675,0.01826,134.36,2,12
XOWBN,0.67472,,9.0909,0.030923,161.17,2,11
CG83G,-2.3253,70,12.6,0.01319,166.78,1,5
4VJDU,-0.32528,,18.575,0.0092733,191.48,2,8
QSVXJ,-2.3253,0,16.767,0.012597,174.38,2,6
TKAUR,6.6747,0,10.124,2.9685e-08,245.51,1,17
NJANX,2.6747,,7.4083,,159.18,1,12
URK3G,2.6747,,11.925,0.0039841,113.65,2,12
GV0L7,2.6747,0,12.838,0.0065062,107.05,1,13
TRHT1,0.67472,,4.8667,2.9685e-08,123.78,1,9
1NJOQ,0.67472,,7.69,0.013628,221.29,1,10
CXNYW,1.6747,,9.9083,0.0097364,168.17,1,12
EHS68,1.6747,161,13.427,0.0064828,170.85,2,11
1AA3I,-3.3253,0,24.717,0.0046943,136.94,2,6
E5ZF5,3.6747,55,9.9231,0.0055121,139.96,1,13
61IVZ,-1.3253,0,7.4727,0.0012366,169.5,1,11
0J471,-2.3253,25,8.45,0.029397,203.41,1,6
E0YEK,0.67472,,14.3,0.0050584,159.72,1,10
W5ZY8,-4.3253,0,24.933,0.0076393,172.76,1,3
SW5TC,1.6747,,12.642,0.012505,185.4,1,12
3MZZI,1.6747,18,8.48,0.011241,188.79,1,10
3YQE2,-4.3253,,13.9,0.0033051,172.91,1,4
MA6GY,3.6747,,13.547,0.0030323,212.43,1,15
7O6FK,0.67472,161,7.7778,0.012799,92.334,1,9
XJE7I,-0.32528,37,7.5,0.018874,250.56,1,9
T42IZ,1.6747,,10.875,0.010254,203.52,1,12
6HT0J,4.6747,,11.986,0.0048184,196.53,1,14
6X6Y0,-3.3253,,23.367,0.042739,203.68,1,3
WKPQ3,-1.3253,,6.6375,0.0071479,161.37,1,8
OT35M,3.6747,,5.7,0.00012738,129.71,1,14
7R44Z,0.67472,66,9.5667,0.0034603,144.12,1,9
W0QSB,-4.3253,,15.5,0.0032844,164.68,1,5
UMTLM,-4.3253,,10.9,0.016887,177.16,1,2
UPT25,0.67472,40,10.382,0.010574,94.736,1,11
C83CH,-1.3253,,7.5143,0.00016239,146.22,1,7
KWJ5O,1.6747,,20.082,0.011556,192.93,1,11
5NG6Q,3.6747,,10.962,,169.01,1,13
9LRJZ,-1.3253,,27.957,0.0035173,130.15,1,7
6OQYV,5.6747,,6.0375,0.0039616,146.29,1,16
LKH9A,7.6747,,8.6952,0.0028959,105.72,1,21
FOP0L,-4.3253,161,19,0.0046055,203.1,1,3
SUE5L,3.6747,55,12.971,0.0031541,75.006,1,14
QQGU3,5.6747,134,9.9875,0.002729,119.88,1,16
DK9PH,3.6747,134,7.7692,5.5623e-07,127.74,1,13
IQA16,0.67472,55,9.2222,0.004074,132.76,1,9
JP5NM,6.6747,0,10.478,2.9685e-08,247.97,1,18
PJDUN,7.6747,,8.0947,0.035488,198.84,1,19
82QZP,-2.3253,,20.533,0.0098828,292.97,1,6
NDDHA,0.67472,,8.5182,0.018795,169.22,1,11
C1DK7,4.6747,,10.931,0.010263,198.83,1,16
T06AT,0.67472,,13.24,0.022963,187.17,2,10
3LIGG,-2.3253,0,8.5,0.003964,225.95,1,6
WPU76,8.6747,0,11.795,,172.31,1,20
DYWLL,0.67472,59,17.891,0.0038223,281.26,1,11
LXEPT,8.6747,,9.95,0.023732,204.14,1,20
WTIQ3,1.6747,55,10.245,0.002692,109.99,1,11
2AIP4,4.6747,0,16.375,2.9685e-08,173.7,1,16
1HYO4,-2.3253,0,33.58,0.0067759,173.37,1,5
30I35,1.6747,,8.9308,0.0030422,242.86,1,13
BPZ55,-1.3253,,32,0.0071504,108.87,2,7
1E1EN,14.675,,6.2429,0.0031253,112.26,1,28
FJYZH,1.6747,,7.9,0.0031446,215.35,1,13
Y50QF,2.6747,0,12.792,2.9685e-08,238.45,1,13
ECW3E,-0.32528,0,17.475,2.9685e-08,217.19,1,8
L39A4,7.6747,0,11.19,0.00012727,175.49,1,20
874F1,7.6747,,10.694,0.0061602,134.93,1,17
COFJV,3.6747,,9.3286,0.014498,222.28,1,14
U8M2P,-1.3253,0,30.814,0.0062213,205.85,2,7
D8FTI,4.6747,,11.247,0.020051,215.14,1,15
3VH9O,0.67472,0,14.991,0.0020968,163.8,1,11
WF89D,4.6747,,7.5786,0.010975,129.15,1,14
N0NLE,-4.3253,,17.075,0.002855,254.76,1,4
5R7VN,-1.3253,55,8.9,,159.89,1,7
V0ZD9,3.6747,0,13.977,2.9685e-08,241.51,1,13
